Nombre,Genero,Fecha de lanzamiento,Duracion,Director,Productora cinematografica,Presupuesto,Recaudacion,Ratings,Reviews
Jackass 3D,"['Comedy', 'Documentary', 'Action']",2010-10-15,99,,MTV Films,20000000,117224271,6.613,[]
Capturing Avatar,['Documentary'],2010-11-16,98,,Mob Scene,0,0,7.358,[]
Green Zone,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']",2010-03-11,115,,Universal Pictures,100000000,94882889,6.5,[]
Legend of the BoneKnapper Dragon,"['Animation', 'Fantasy', 'Family', 'Adventure', 'Comedy', 'TV Movie']",2010-10-14,16,,DreamWorks Animation,0,0,6.7,[]
Get Him to the Greek,"['Adventure', 'Comedy', 'Music']",2010-06-03,109,,Apatow Productions,40000000,90029656,5.964,[]
13 Assassins,"['Adventure', 'Drama', 'Action']",2010-09-09,141,,TOHO,6000000,17555141,7.3,[]
Reign of Assassins,"['Action', 'Adventure']",2010-09-01,117,,Lion Rock Productions,12000000,0,6.874,[]
Marmaduke,"['Family', 'Comedy']",2010-06-03,87,,Dune Entertainment,50000000,83761844,5.269,[]
Wall Street: Money Never Sleeps,"['Drama', 'Crime']",2010-09-20,133,,Pressman Film,70000000,134748021,6.086,[]
Morning Glory,"['Drama', 'Comedy', 'Romance']",2010-11-10,107,,Bad Robot,40000000,60040976,6.345,[]
Tucker and Dale vs. Evil,"['Comedy', 'Horror']",2010-01-22,89,,Eden Rock Media,5000000,5224938,7.368,[]
Lake Placid 3,"['Horror', 'Action', 'Science Fiction', 'Thriller']",2010-08-21,93,,Curmudgeon Films,2500000,0,5.117,[]
Death at a Funeral,['Comedy'],2010-04-15,92,,Parabolic Pictures,21000000,49050886,5.793,[]
Bunraku,"['Thriller', 'Action', 'Drama']",2010-09-01,124,,Picturesque Films,25000000,129706,5.9,[]
Never Let Me Go,"['Drama', 'Romance', 'Science Fiction']",2010-03-18,104,,Fox Searchlight Pictures,15000000,9918093,6.854,[]
Julia's Eyes,"['Horror', 'Thriller']",2010-10-29,118,,Canal+ España,0,12884923,6.67,[]
Thriller Night,['Animation'],2011-09-13,6,,DreamWorks Animation,0,0,6.9,[]
Kung Fu Panda 2,"['Animation', 'Family', 'Comedy']",2011-05-25,91,,DreamWorks Animation,150000000,665700000,6.982,[]
Harry Potter and the Deathly Hallows: Part 2,"['Fantasy', 'Adventure']",2011-07-12,130,,Warner Bros. Pictures,125000000,1341511219,8.102,[]
Prep & Landing: Naughty vs. Nice,"['Animation', 'Comedy', 'Family']",2011-12-05,22,,,0,0,6.9,[]
Pirates of the Caribbean: On Stranger Tides,"['Adventure', 'Action', 'Fantasy']",2011-05-15,137,,Walt Disney Pictures,379000000,1045700000,6.541,[]
Cars 2,"['Animation', 'Family', 'Adventure', 'Comedy']",2011-06-11,106,,Pixar,200000000,559852396,6.088,[]
The Twilight Saga: Breaking Dawn - Part 1,"['Adventure', 'Fantasy', 'Romance']",2011-11-16,117,,Summit Entertainment,110000000,712171856,6.205,[]
Real Steel,"['Action', 'Science Fiction', 'Drama']",2011-09-28,127,,DreamWorks Pictures,110000000,299268508,6.986,[]
The Smurfs: A Christmas Carol,"['Comedy', 'Family', 'Animation']",2011-12-02,22,,Sony Pictures Animation,0,0,6.7,[]
The Intouchables,"['Drama', 'Comedy']",2011-11-02,113,,Gaumont,13000000,426600000,8.279,[]
Just Go with It,"['Comedy', 'Romance']",2011-02-10,117,,Columbia Pictures,80000000,214945591,6.68,[]
Thor,"['Adventure', 'Fantasy', 'Action']",2011-04-21,115,,Marvel Studios,150000000,449326618,6.767,[]
The Hangover Part II,['Comedy'],2011-05-25,102,,Legendary Pictures,80000000,586764305,6.474,[]
Captain America: The First Avenger,"['Action', 'Adventure', 'Science Fiction']",2011-07-22,124,,Marvel Studios,140000000,370569774,6.996,[]
Mission: Impossible - Ghost Protocol,"['Action', 'Thriller', 'Adventure']",2011-12-07,133,,Paramount,145000000,694700000,7.074,[]
Rango,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",2011-03-02,107,,Paramount,135000000,245724603,6.834,[]
Rise of the Planet of the Apes,"['Thriller', 'Action', 'Drama', 'Science Fiction']",2011-08-03,105,,Dune Entertainment III,93000000,482860185,7.295,[]
Sherlock Holmes: A Game of Shadows,"['Adventure', 'Action', 'Crime', 'Mystery']",2011-11-22,129,,Warner Bros. Pictures,125000000,334615000,7.135,[]
Ghost Rider: Spirit of Vengeance,"['Action', 'Fantasy', 'Thriller']",2011-12-10,96,,Columbia Pictures,57000000,132563930,5.007,[]
